Date,EUR_Net_Long,EUR_Long,EUR_Short,EUR_Net_Change
2005-01-04,-3340,101582,82672,1831
2005-01-11,-5831,101647,80061,-4817
2005-01-18,-2738,100010,81139,4424
2005-01-25,104,100116,83191,-2605
2005-02-01,6857,103550,82867,-1817
2005-02-08,15005,106427,81660,2201
2005-02-15,16514,106047,80090,8495
2005-02-22,18762,106353,87216,-6604
2005-03-01,17033,107877,83298,-5504
2005-03-08,15457,103819,84885,-8224
2005-03-15,5377,102300,81145,2585
2005-03-22,-273,101300,82632,1478
2005-03-29,-5833,100066,82638,-1608
2005-04-05,-4643,102241,84849,7498
2005-04-12,-6269,101051,85970,-2503
2005-04-19,3454,100371,85231,-6033
2005-04-26,13032,100181,86675,-7845
2005-05-03,17634,101236,87013,1015
2005-05-10,22316,106924,88711,1249
2005-05-17,28103,105524,91932,-6489
2005-05-24,27572,111081,90322,-5802
2005-05-31,27129,111443,95534,-8494
2005-06-07,22271,110477,95923,-5206
2005-06-14,20351,106927,97479,3796
2005-06-21,26050,103069,97962,-3893
2005-06-28,26732,102075,95198,1375
2005-07-05,24897,102970,93314,-3008
2005-07-12,23392,101329,94652,5043
2005-07-19,23930,102577,92550,6120
2005-07-26,29638,100362,89728,-1386
2005-08-02,23091,103384,90440,-4737
2005-08-09,21719,106230,93287,11034
2005-08-16,26043,107774,93064,4018
2005-08-23,18844,105790,92310,3947
2005-08-30,25468,107292,96831,7660
2005-09-06,21302,105488,100986,-9540
2005-09-13,24653,105989,105035,432
2005-09-20,25085,105875,101544,9644
2005-09-27,26860,103708,101884,2295
2005-10-04,20798,101615,100681,-1211
2005-10-11,21399,103582,106319,4326
2005-10-18,19605,102409,104462,-8820
2005-10-25,25605,101618,100567,2392
2005-11-01,22899,104131,97453,3715
2005-11-08,22841,105350,95426,5429
2005-11-15,21384,102782,97434,-1518
2005-11-22,23330,100799,97020,-4387
2005-11-29,29338,108256,98128,-2395
2005-12-06,29419,107748,97526,1239
2005-12-13,31646,111640,104029,949
2005-12-20,26491,105150,107270,6573
2005-12-27,26827,100171,105893,-5633
2006-01-03,20759,104340,104029,-79
2006-01-10,16275,102969,104903,-4938
2006-01-17,22509,102213,103246,3751
2006-01-24,22113,100175,104103,4873
2006-01-31,18928,100796,101912,4561
2006-02-07,18997,102774,96931,-5690
2006-02-14,12011,104895,98052,4786
2006-02-21,20641,105771,100149,4466
2006-02-28,18182,106548,95796,-7131
2006-03-07,19453,107198,93697,-2416
2006-03-14,18112,106899,91854,1728
2006-03-21,17779,104960,95284,6194
2006-03-28,12691,105221,95584,-245
2006-04-04,11061,106986,95225,11591
2006-04-11,14416,105943,89012,457
2006-04-18,11248,105916,91387,-2164
2006-04-25,10570,103353,98421,-2883
2006-05-02,19638,102085,95949,1026
2006-05-09,20040,100321,100194,-21
2006-05-16,15628,100013,99348,2020
2006-05-23,21392,100147,98290,173
2006-05-30,25661,100958,101330,-6139
2006-06-06,30044,102543,101123,8357
2006-06-13,31502,100826,103839,-8831
2006-06-20,32748,102609,102429,7508
2006-06-27,39675,103606,103918,-3143
2006-07-04,38437,105896,110544,-1411
2006-07-11,43489,102308,109424,-1398
2006-07-18,45025,105942,113919,-7608
2006-07-25,49056,104948,113495,-843
2006-08-01,49415,112514,117134,4
2006-08-08,48180,110585,116441,-3150
2006-08-15,44313,107986,115985,-7557
2006-08-22,40005,113229,114699,3422
2006-08-29,45674,112727,116217,326
2006-09-05,41725,113059,116180,5876
2006-09-12,44481,109185,116094,-2979
2006-09-19,43050,112016,111973,2019
2006-09-26,39214,114069,109798,5044
2006-10-03,44686,117136,116208,8674
2006-10-10,52706,110941,116637,537
2006-10-17,43151,112907,120298,-3632
2006-10-24,43797,112509,117761,5251
2006-10-31,46928,113466,121506,-1
2006-11-07,47343,113565,124239,8856
2006-11-14,58957,113028,125933,-555
2006-11-21,70380,115347,134261,441
2006-11-28,72364,117821,134302,8008
2006-12-05,68664,118639,130221,-5659
2006-12-12,64397,114404,130861,2721
2006-12-19,54200,111665,127950,-8748
2006-12-26,60071,115459,129409,1873
2007-01-02,55316,117148,132622,7504
2007-01-09,58769,112653,132720,5589
2007-01-16,62594,105484,131299,-2572
