"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Prod_Merc_Positions_Long_All","Prod_Merc_Positions_Short_All","Swap_Positions_Long_All","Swap__Positions_Short_All","Swap__Positions_Spread_All","M_Money_Positions_Long_All","M_Money_Positions_Short_All","M_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Open_Interest_Old","Prod_Merc_Positions_Long_Old","Prod_Merc_Positions_Short_Old","Swap_Positions_Long_Old","Swap__Positions_Short_Old","Swap__Positions_Spread_Old","M_Money_Positions_Long_Old","M_Money_Positions_Short_Old","M_Money_Positions_Spread_Old","Other_Rept_Positions_Long_Old","Other_Rept_Positions_Short_Old","Other_Rept_Positions_Spread_Old","Tot_Rept_Positions_Long_Old","Tot_Rept_Positions_Short_Old","NonRept_Positions_Long_Old","NonRept_Positions_Short_Old","Open_Interest_Other","Prod_Merc_Positions_Long_Other","Prod_Merc_Positions_Short_Other","Swap_Positions_Long_Other","Swap__Positions_Short_Other","Swap__Positions_Spread_Other","M_Money_Positions_Long_Other","M_Money_Positions_Short_Other","M_Money_Positions_Spread_Other","Other_Rept_Positions_Long_Other","Other_Rept_Positions_Short_Other","Other_Rept_Positions_Spread_Other","Tot_Rept_Positions_Long_Other","Tot_Rept_Positions_Short_Other","NonRept_Positions_Long_Other","NonRept_Positions_Short_Other","Change_in_Open_Interest_All","Change_in_Prod_Merc_Long_All","Change_in_Prod_Merc_Short_All","Change_in_Swap_Long_All","Change_in_Swap_Short_All","Change_in_Swap_Spread_All","Change_in_M_Money_Long_All","Change_in_M_Money_Short_All","Change_in_M_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Prod_Merc_Long_All","Pct_of_OI_Prod_Merc_Short_All","Pct_of_OI_Swap_Long_All","Pct_of_OI_Swap_Short_All","Pct_of_OI_Swap_Spread_All","Pct_of_OI_M_Money_Long_All","Pct_of_OI_M_Money_Short_All","Pct_of_OI_M_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Pct_of_Open_Interest_Old","Pct_of_OI_Prod_Merc_Long_Old","Pct_of_OI_Prod_Merc_Short_Old","Pct_of_OI_Swap_Long_Old","Pct_of_OI_Swap_Short_Old","Pct_of_OI_Swap_Spread_Old","Pct_of_OI_M_Money_Long_Old","Pct_of_OI_M_Money_Short_Old","Pct_of_OI_M_Money_Spread_Old","Pct_of_OI_Other_Rept_Long_Old","Pct_of_OI_Other_Rept_Short_Old","Pct_of_OI_Other_Rept_Spread_Old","Pct_of_OI_Tot_Rept_Long_Old","Pct_of_OI_Tot_Rept_Short_Old","Pct_of_OI_NonRept_Long_Old","Pct_of_OI_NonRept_Short_Old","Pct_of_Open_Interest_Other","Pct_of_OI_Prod_Merc_Long_Other","Pct_of_OI_Prod_Merc_Short_Other","Pct_of_OI_Swap_Long_Other","Pct_of_OI_Swap_Short_Other","Pct_of_OI_Swap_Spread_Other","Pct_of_OI_M_Money_Long_Other","Pct_of_OI_M_Money_Short_Other","Pct_of_OI_M_Money_Spread_Other","Pct_of_OI_Other_Rept_Long_Other","Pct_of_OI_Other_Rept_Short_Other","Pct_of_OI_Other_Rept_Spread_Other","Pct_of_OI_Tot_Rept_Long_Other","Pct_of_OI_Tot_Rept_Short_Other","Pct_of_OI_NonRept_Long_Other","Pct_of_OI_NonRept_Short_Other","Traders_Tot_All","Traders_Prod_Merc_Long_All","Traders_Prod_Merc_Short_All","Traders_Swap_Long_All","Traders_Swap_Short_All","Traders_Swap_Spread_All","Traders_M_Money_Long_All","Traders_M_Money_Short_All","Traders_M_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Traders_Tot_Old","Traders_Prod_Merc_Long_Old","Traders_Prod_Merc_Short_Old","Traders_Swap_Long_Old","Traders_Swap_Short_Old","Traders_Swap_Spread_Old","Traders_M_Money_Long_Old","Traders_M_Money_Short_Old","Traders_M_Money_Spread_Old","Traders_Other_Rept_Long_Old","Traders_Other_Rept_Short_Old","Traders_Other_Rept_Spread_Old","Traders_Tot_Rept_Long_Old","Traders_Tot_Rept_Short_Old","Traders_Tot_Other","Traders_Prod_Merc_Long_Other","Traders_Prod_Merc_Short_Other","Traders_Swap_Long_Other","Traders_Swap_Short_Other","Traders_Swap_Spread_Other","Traders_M_Money_Long_Other","Traders_M_Money_Short_Other","Traders_M_Money_Spread_Other","Traders_Other_Rept_Long_Other","Traders_Other_Rept_Short_Other","Traders_Other_Rept_Spread_Other","Traders_Tot_Rept_Long_Other","Traders_Tot_Rept_Short_Other","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Conc_Gross_LE_4_TDR_Long_Old","Conc_Gross_LE_4_TDR_Short_Old","Conc_Gross_LE_8_TDR_Long_Old","Conc_Gross_LE_8_TDR_Short_Old","Conc_Net_LE_4_TDR_Long_Old","Conc_Net_LE_4_TDR_Short_Old","Conc_Net_LE_8_TDR_Long_Old","Conc_Net_LE_8_TDR_Short_Old","Conc_Gross_LE_4_TDR_Long_Other","Conc_Gross_LE_4_TDR_Short_Other","Conc_Gross_LE_8_TDR_Long_Other","Conc_Gross_LE_8_TDR_Short_Other","Conc_Net_LE_4_TDR_Long_Other","Conc_Net_LE_4_TDR_Short_Other","Conc_Net_LE_8_TDR_Long_Other","Conc_Net_LE_8_TDR_Short_Other","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"WHEAT-SRW - CHICAGO BOARD OF TRADE",231226,2023-12-26,001602,CBT ,00,001 ,  362050,   56723,   77340,   62093,    2952,   15725,   64568,  125284,   69504,   39658,   10353,   25095,  333366,  326253,   28684,   35797,  248341,   44566,   47765,   25587,   11585,    5113,   68925,  106482,   32352,   42132,   12667,    6939,  225614,  222903,   22727,   25438,  113709,   12157,   29575,   45964,     825,    1154,   28796,   51955,    3999,    7177,    7337,    8505,  107752,  103350,    5957,   10359,   10701,   -1602,    2267,    -719,     127,      -9,    3625,   -2535,    6109,     535,    1113,    2537,   10476,    9609,     225,    1092,  100.0,   15.7,   21.4,   17.2,    0.8,    4.3,   17.8,   34.6,   19.2,   11.0,    2.9,    6.9,   92.1,   90.1,    7.9,    9.9,  100.0,   17.9,   19.2,   10.3,    4.7,    2.1,   27.8,   42.9,   13.0,   17.0,    5.1,    2.8,   90.8,   89.8,    9.2,   10.2,  100.0,   10.7,   26.0,   40.4,    0.7,    1.0,   25.3,   45.7,    3.5,    6.3,    6.5,    7.5,   94.8,   90.9,    5.2,    9.1,    327,     67,     69,     20,      7,     18,     46,     75,     66,     48,     28,     43,    255,    247,    311,     55,     64,     16,     11,     14,     50,     66,     52,     54,     26,     22,    217,    216,    196,     34,     50,     19,      4,      5,     29,     31,     16,     14,     30,     22,    123,    133,    11.3,    14.1,    20.8,    23.0,    10.3,     9.0,    17.1,    15.9,    14.2,    12.4,    23.7,    21.7,    11.2,    12.0,    19.8,    20.9,    26.0,    34.0,    43.0,    45.9,    26.0,    33.7,    43.0,    42.4,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 ","A10","FutOnly"
"WHEAT-SRW - CHICAGO BOARD OF TRADE",231219,2023-12-19,001602,CBT ,00,001 ,  351349,   58325,   75073,   62812,    2825,   15734,   60943,  127819,   63395,   39123,    9240,   22558,  322890,  316644,   28459,   34705,  245485,   47190,   45962,   27160,   10497,    6329,   66612,  109364,   29321,   40061,   12502,    5965,  222638,  219940,   22847,   25545,  105864,   11135,   29111,   44108,     784,     949,   23791,   47915,    4614,    7703,    5379,    7952,  100252,   96704,    5612,    9160,    3889,    -292,    4765,     348,     595,    1539,   -7323,  -11557,    6084,    -994,     212,    4101,    3463,    5739,     426,   -1850,  100.0,   16.6,   21.4,   17.9,    0.8,    4.5,   17.3,   36.4,   18.0,   11.1,    2.6,    6.4,   91.9,   90.1,    8.1,    9.9,  100.0,   19.2,   18.7,   11.1,    4.3,    2.6,   27.1,   44.6,   11.9,   16.3,    5.1,    2.4,   90.7,   89.6,    9.3,   10.4,  100.0,   10.5,   27.5,   41.7,    0.7,    0.9,   22.5,   45.3,    4.4,    7.3,    5.1,    7.5,   94.7,   91.3,    5.3,    8.7,    334,     68,     72,     19,      9,     17,     40,     79,     65,     52,     30,     41,    254,    249,    318,     55,     67,     15,     13,     13,     47,     67,     51,     52,     30,     21,    218,    216,    199,     36,     54,     19,      5,      5,     26,     32,     15,     17,     23,     24,    124,    138,    12.0,    14.3,    21.4,    24.1,    10.6,    10.1,    17.6,    16.6,    14.5,    13.8,    23.8,    22.7,    11.5,    13.4,    19.8,    22.1,    26.7,    33.3,    44.8,    44.2,    26.7,    32.1,    44.5,    40.6,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 ","A10","FutOnly"
"WHEAT-SRW - CHICAGO BOARD OF TRADE",231212,2023-12-12,001602,CBT ,00,001 ,  347460,   58617,   70308,   62464,    2230,   14195,   68266,  139376,   57311,   40117,    9028,   18457,  319427,  310905,   28033,   36555,  250057,   48647,   42046,   28178,    8384,    6777,   74149,  124700,   25180,   40757,   11597,    3730,  227418,  222414,   22639,   27643,   97403,    9970,   28262,   40994,     554,     710,   21604,   42163,    4644,    6495,    4566,    7592,   92009,   88491,    5394,    8912,  -57849,  -24074,    -613,      37,     604,   -2977,   -7308,  -36730,   -5160,   -4274,   -1898,  -12163,  -55919,  -58937,   -1930,    1088,  100.0,   16.9,   20.2,   18.0,    0.6,    4.1,   19.6,   40.1,   16.5,   11.5,    2.6,    5.3,   91.9,   89.5,    8.1,   10.5,  100.0,   19.5,   16.8,   11.3,    3.4,    2.7,   29.7,   49.9,   10.1,   16.3,    4.6,    1.5,   90.9,   88.9,    9.1,   11.1,  100.0,   10.2,   29.0,   42.1,    0.6,    0.7,   22.2,   43.3,    4.8,    6.7,    4.7,    7.8,   94.5,   90.9,    5.5,    9.1,    319,     64,     71,     18,      6,     14,     52,     69,     64,     50,     25,     36,    245,    233,    304,     53,     64,     16,      8,     11,     52,     65,     51,     51,     23,     20,    211,    204,    193,     36,     54,     18,.,      4,     26,     32,     16,     16,     24,     21,    123,    130,    12.4,    14.4,    21.9,    25.5,    11.4,    11.5,    19.2,    19.5,    14.4,    15.8,    25.2,    26.5,    12.3,    14.9,    21.7,    25.5,    28.2,    33.3,    45.3,    44.7,    28.1,    31.3,    44.9,    41.2,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 ","A10","FutOnly"
"WHEAT-SRW - CHICAGO BOARD OF TRADE",231205,2023-12-05,001602,CBT ,00,001 ,  405309,   82691,   70921,   62427,    1626,   17172,   75574,  176106,   62471,   44391,   10926,   30620,  375346,  369842,   29963,   35467,  313554,   73315,   46004,   29440,    7484,   10203,   77965,  159247,   36365,   48756,   14804,   12914,  288958,  287021,   24596,   26533,   91755,    9376,   24917,   39263,     418,     693,   20387,   39637,    3328,    6767,    7254,    6574,   86388,   82821,    5367,    8934,   -6528,     319,   18446,   -6340,    1607,    3619,    1465,  -22070,   -3150,    3793,   -2809,   -1258,   -1552,   -5615,   -4976,    -913,  100.0,   20.4,   17.5,   15.4,    0.4,    4.2,   18.6,   43.4,   15.4,   11.0,    2.7,    7.6,   92.6,   91.2,    7.4,    8.8,  100.0,   23.4,   14.7,    9.4,    2.4,    3.3,   24.9,   50.8,   11.6,   15.5,    4.7,    4.1,   92.2,   91.5,    7.8,    8.5,  100.0,   10.2,   27.2,   42.8,    0.5,    0.8,   22.2,   43.2,    3.6,    7.4,    7.9,    7.2,   94.2,   90.3,    5.8,    9.7,    338,     66,     72,     21,      4,     15,     51,     78,     64,     52,     31,     39,    253,    249,    329,     60,     64,     19,      6,     10,     55,     71,     53,     54,     31,     23,    228,    219,    192,     33,     54,     18,      4,      4,     26,     32,     18,     16,     26,     18,    121,    130,    13.0,    13.5,    22.3,    23.6,    11.9,    11.8,    19.8,    20.3,    14.9,    14.9,    25.3,    26.1,    13.9,    14.6,    22.1,    24.9,    29.7,    31.5,    46.1,    44.9,    29.7,    31.2,    45.7,    42.2,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 ","A10","FutOnly"
"WHEAT-SRW - CHICAGO BOARD OF TRADE",231128,2023-11-28,001602,CBT ,00,001 ,  411837,   82372,   52475,   68767,      19,   13553,   74109,  198176,   65621,   40598,   13735,   31878,  376898,  375457,   34939,   36380,  325459,   72169,   35992,   33541,    4201,    8960,   81401,  181797,   37005,   49054,   16416,   13061,  295191,  297432,   30268,   28027,   86378,   10203,   16483,   39413,       5,     406,   17572,   41243,    3752,    4217,    9992,    6144,   81707,   78025,    4671,    8353,  -34423,   13566,  -10493,   -2036,    -467,    -400,   -1491,    5159,  -13877,  -12917,     106,  -14118,  -31273,  -34090,   -3150,    -333,  100.0,   20.0,   12.7,   16.7,    0.0,    3.3,   18.0,   48.1,   15.9,    9.9,    3.3,    7.7,   91.5,   91.2,    8.5,    8.8,  100.0,   22.2,   11.1,   10.3,    1.3,    2.8,   25.0,   55.9,   11.4,   15.1,    5.0,    4.0,   90.7,   91.4,    9.3,    8.6,  100.0,   11.8,   19.1,   45.6,    0.0,    0.5,   20.3,   47.7,    4.3,    4.9,   11.6,    7.1,   94.6,   90.3,    5.4,    9.7,    357,     72,     61,     25,.,     14,     38,     96,     62,     62,     32,     44,    269,    251,    347,     66,     52,     22,      4,      9,     45,     87,     50,     71,     27,     31,    245,    220,    187,     35,     45,     19,.,.,     23,     35,     17,     11,     31,     19,    119,    124,    12.6,    13.6,    21.3,    24.0,    11.8,    13.0,    19.2,    21.9,    14.6,    15.8,    23.2,    27.6,    13.5,    15.6,    21.6,    26.5,    32.5,    26.8,    47.8,    40.8,    32.5,    25.4,    47.8,    37.5,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 ","A10","FutOnly"
"WHEAT-SRW - CHICAGO BOARD OF TRADE",231121,2023-11-21,001602,CBT ,00,001 ,  446260,   68806,   62968,   70803,     486,   13953,   75600,  193017,   79498,   53515,   13629,   45996,  408171,  409547,   38089,   36713,  361845,   58857,   47961,   36652,    4658,    9358,   84577,  177002,   49702,   60888,   15906,   28516,  328550,  333103,   33295,   28742,   84415,    9949,   15007,   38363,      40,     383,   17273,   42265,    3546,    4248,    9344,    5859,   79621,   76444,    4794,    7971,    9301,    8179,   -2373,    6809,       5,   -2279,     716,   20682,   -3395,      24,   -1449,   -2538,    7516,    8653,    1785,     648,  100.0,   15.4,   14.1,   15.9,    0.1,    3.1,   16.9,   43.3,   17.8,   12.0,    3.1,   10.3,   91.5,   91.8,    8.5,    8.2,  100.0,   16.3,   13.3,   10.1,    1.3,    2.6,   23.4,   48.9,   13.7,   16.8,    4.4,    7.9,   90.8,   92.1,    9.2,    7.9,  100.0,   11.8,   17.8,   45.4,    0.0,    0.5,   20.5,   50.1,    4.2,    5.0,   11.1,    6.9,   94.3,   90.6,    5.7,    9.4,    366,     76,     70,     26,.,     16,     47,     88,     63,     58,     27,     48,    279,    263,    355,     71,     60,     23,      6,     11,     52,     79,     54,     64,     22,     44,    261,    237,    181,     34,     51,     19,      4,.,     19,     33,     14,     11,     24,     16,    109,    122,    11.6,    13.1,    20.1,    23.5,     9.2,    11.4,    15.7,    19.8,    13.1,    15.3,    21.6,    26.4,     9.3,    13.3,    16.2,    23.3,    33.1,    25.2,    48.0,    38.7,    33.0,    23.7,    47.9,    35.4,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 ","A10","FutOnly"
"WHEAT-SRW - CHICAGO BOARD OF TRADE",231114,2023-11-14,001602,CBT ,00,001 ,  436959,   60627,   65341,   63994,     481,   16232,   74884,  172335,   82893,   53491,   15078,   48534,  400655,  400894,   36304,   36065,  355846,   52165,   51503,   32556,    6625,    9662,   81266,  156143,   55994,   62757,   18015,   29209,  323609,  327151,   32237,   28695,   81113,    8462,   13838,   37628,      46,     380,   16873,   39447,    3644,    4301,   10630,    5758,   77046,   73743,    4067,    7370,  -16353,   -4305,    -710,    2300,     460,     702,   -2377,   -5128,  -14086,   -2200,     -22,    3328,  -16638,  -15456,     285,    -897,  100.0,   13.9,   15.0,   14.6,    0.1,    3.7,   17.1,   39.4,   19.0,   12.2,    3.5,   11.1,   91.7,   91.7,    8.3,    8.3,  100.0,   14.7,   14.5,    9.1,    1.9,    2.7,   22.8,   43.9,   15.7,   17.6,    5.1,    8.2,   90.9,   91.9,    9.1,    8.1,  100.0,   10.4,   17.1,   46.4,    0.1,    0.5,   20.8,   48.6,    4.5,    5.3,   13.1,    7.1,   95.0,   90.9,    5.0,    9.1,    363,     75,     76,     25,.,     18,     42,     83,     65,     63,     32,     50,    276,    272,    355,     69,     68,     22,      6,     12,     48,     73,     60,     69,     31,     40,    257,    249,    185,     33,     55,     19,      4,.,     20,     32,     14,     12,     26,     16,    106,    129,    13.2,    13.4,    21.9,    23.1,     9.3,     9.9,    15.7,    17.6,    14.6,    14.8,    22.9,    25.6,     8.7,    11.8,    15.5,    20.9,    35.1,    26.2,    50.4,    41.0,    35.0,    24.6,    50.4,    36.3,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 ","A10","FutOnly"
"WHEAT-SRW - CHICAGO BOARD OF TRADE",231107,2023-11-07,001602,CBT ,00,001 ,  453312,   64932,   66051,   61694,      21,   15530,   77261,  177463,   96979,   55691,   15100,   45206,  417293,  416350,   36019,   36962,  376470,   57481,   51587,   33717,    5726,    9399,   81848,  164823,   73158,   64292,   17984,   24032,  343927,  346709,   32543,   29761,   76842,    7451,   14464,   33728,      46,     380,   15293,   32520,    3941,    6689,   12406,    5884,   73366,   69641,    3476,    7201,   -6898,   -8042,    -864,   -1271,    -410,   -5894,    7889,    -746,   -8701,    2108,     787,    7992,   -5919,   -7836,    -979,     938,  100.0,   14.3,   14.6,   13.6,    0.0,    3.4,   17.0,   39.1,   21.4,   12.3,    3.3,   10.0,   92.1,   91.8,    7.9,    8.2,  100.0,   15.3,   13.7,    9.0,    1.5,    2.5,   21.7,   43.8,   19.4,   17.1,    4.8,    6.4,   91.4,   92.1,    8.6,    7.9,  100.0,    9.7,   18.8,   43.9,    0.1,    0.5,   19.9,   42.3,    5.1,    8.7,   16.1,    7.7,   95.5,   90.6,    4.5,    9.4,    371,     75,     74,     25,.,     17,     51,     79,     64,     65,     38,     55,    284,    273,    365,     72,     66,     22,      5,     10,     53,     72,     62,     72,     35,     46,    272,    250,    180,     32,     52,     19,      4,.,     21,     26,     12,      9,     32,     14,    104,    121,    11.8,    11.7,    19.2,    21.0,     8.3,    10.3,    14.4,    17.8,    12.4,    13.0,    20.4,    23.1,     8.0,    11.8,    14.7,    20.9,    32.5,    26.2,    48.9,    41.7,    32.5,    24.5,    48.7,    35.4,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 ","A10","FutOnly"
"WHEAT-SRW - CHICAGO BOARD OF TRADE",231031,2023-10-31,001602,CBT ,00,001 ,  460210,   72974,   66915,   62965,     431,   21424,   69372,  178209,  105680,   53583,   14313,   37214,  423212,  424186,   36998,   36024,  388330,   65791,   53735,   35862,    6115,   15233,   75550,  167392,   82101,   62177,   16729,   17611,  354325,  358916,   34005,   29414,   71880,    7183,   13180,   32876,      89,     418,   13394,   30389,    4007,    5363,   11541,    5646,   68887,   65270,    2993,    6610,   24525,    2477,   -3173,    5965,       0,   -1491,   -1252,    9875,    9137,    2400,     893,    8499,   25735,   23740,   -1210,     785,  100.0,   15.9,   14.5,   13.7,    0.1,    4.7,   15.1,   38.7,   23.0,   11.6,    3.1,    8.1,   92.0,   92.2,    8.0,    7.8,  100.0,   16.9,   13.8,    9.2,    1.6,    3.9,   19.5,   43.1,   21.1,   16.0,    4.3,    4.5,   91.2,   92.4,    8.8,    7.6,  100.0,   10.0,   18.3,   45.7,    0.1,    0.6,   18.6,   42.3,    5.6,    7.5,   16.1,    7.9,   95.8,   90.8,    4.2,    9.2,    378,     80,     71,     27,.,     18,     51,     83,     63,     68,     32,     47,    290,    266,    373,     78,     64,     24,      5,     13,     55,     77,     60,     73,     32,     41,    280,    248,    172,     33,     51,     16,      6,.,     17,     24,     10,     10,     30,     16,    100,    118,    11.4,    11.6,    19.5,    20.4,     8.3,    10.0,    14.6,    17.5,    12.1,    12.9,    19.8,    22.6,     8.3,    11.7,    14.3,    20.3,    34.1,    27.3,    49.4,    42.6,    34.1,    24.7,    49.3,    35.3,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 ","A10","FutOnly"
"WHEAT-SRW - CHICAGO BOARD OF TRADE",231024,2023-10-24,001602,CBT ,00,001 ,  435685,   70497,   70088,   57000,     431,   22915,   70624,  168334,   96543,   51183,   13420,   28715,  397477,  400446,   38208,   35239,  368372,   63407,   57348,   34890,    7160,   15572,   76265,  157866,   73482,   58325,   16246,   11695,  333636,  339369,   34736,   29003,   67313,    7090,   12740,   28912,      73,     541,   12837,   28946,    4583,    4260,    8576,    5618,   63841,   61077,    3472,    6236,    3894,   -3227,    5296,     -38,       2,    1634,    7622,   -5620,    2254,   -4600,    -654,     980,    4625,    3892,    -731,       2,  100.0,   16.2,   16.1,   13.1,    0.1,    5.3,   16.2,   38.6,   22.2,   11.7,    3.1,    6.6,   91.2,   91.9,    8.8,    8.1,  100.0,   17.2,   15.6,    9.5,    1.9,    4.2,   20.7,   42.9,   19.9,   15.8,    4.4,    3.2,   90.6,   92.1,    9.4,    7.9,  100.0,   10.5,   18.9,   43.0,    0.1,    0.8,   19.1,   43.0,    6.8,    6.3,   12.7,    8.3,   94.8,   90.7,    5.2,    9.3,    368,     78,     74,     25,.,     18,     52,     80,     63,     60,     34,     45,    283,    263,    364,     75,     68,     22,      5,     13,     54,     76,     60,     66,     34,     37,    273,    244,    166,     33,     52,     16,      5,.,     17,     23,      9,      9,     27,     16,     97,    115,    11.1,    12.2,    19.3,    21.6,     7.7,    10.9,    14.4,    18.4,    12.2,    13.7,    20.1,    23.6,     8.6,    12.7,    14.7,    21.2,    36.4,    28.5,    47.5,    42.2,    36.2,    23.6,    47.3,    34.6,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 ","A10","FutOnly"
