feature,horizon,ic_full_sample,ic_p_value,ic_n_obs,ic_rolling_mean,ic_rolling_std,ic_ir,significant_5pct
log_return,1,0.0006087943019081218,0.9142645178484512,31276,0.0026051692739400755,0.02547962409635788,0.10224520048207716,False
log_return,6,0.0020545753933600315,0.7163741282706162,31271,-0.0016634479934515697,0.027785302756509648,-0.059867909593385685,False
log_return,24,-0.005768422063046006,0.3078521509074062,31253,-0.00982799756354445,0.027025198482898357,-0.3636605137151404,False
return_5,1,-0.00028882731955139724,0.9592640563839872,31276,-0.0009275829961617242,0.028704918223196773,-0.03231442740750028,False
return_5,6,0.003049281355889693,0.5897470200697643,31271,-0.0030329605897110997,0.05240309267142499,-0.057877511327970727,False
return_5,24,-0.013899364852827119,0.014001608219623122,31253,-0.02390727640344895,0.05664880025486842,-0.4220261734738919,True
return_20,1,-0.004837464909660786,0.39228683231335404,31276,-0.008458125229373153,0.02598409206070467,-0.32551167112605184,False
return_20,6,-0.011609944330485886,0.040068292100431196,31271,-0.023295915623378412,0.059153342526299287,-0.3938224727203059,True
return_20,24,-0.020999066070339457,0.00020515350826236356,31253,-0.035182309920374064,0.090436540373976,-0.38902759631103845,True
ema_14,1,-0.01023166329333647,0.0703815973733031,31276,-0.03898034428665849,0.01994465866628751,-1.9544252393021413,False
ema_14,6,-0.023877615653390707,2.412246368242422e-05,31271,-0.09463943035007102,0.04875131617527699,-1.9412692369127265,True
ema_14,24,-0.04974455896655659,1.3779922474372777e-18,31253,-0.18390044714037276,0.09479590953682011,-1.939961840536412,True
ema_50,1,-0.009969659441598932,0.07788197257731666,31276,-0.03810852773443335,0.02001140085580002,-1.9043408309612735,False
ema_50,6,-0.023218797364197158,4.02028881679992e-05,31271,-0.09234147693390564,0.048630015040054896,-1.8988576675916529,True
ema_50,24,-0.04873193519343116,6.7035697979260194e-18,31253,-0.18027665773976773,0.09396555141664072,-1.9185398800080031,True
ema_200,1,-0.00987245017550064,0.08082524704936077,31276,-0.03597234428448743,0.02048571481876674,-1.7559721299807198,False
ema_200,6,-0.02316221023686823,4.1980533893455895e-05,31271,-0.08712294991570836,0.049343031031969284,-1.7656586572329032,True
ema_200,24,-0.0484865291882361,9.788776558427166e-18,31253,-0.17038761212127326,0.09475980472634103,-1.798100076433668,True
ema_14_50_ratio,1,-0.004931974825304631,0.38310404018183697,31276,-0.01270602690006272,0.026228538411818814,-0.48443518661098056,False
ema_14_50_ratio,6,-0.014022552233960602,0.013148707023923737,31271,-0.031593944278330635,0.06476585814981825,-0.4878178901798323,True
ema_14_50_ratio,24,-0.026598963398572727,2.56433658186746e-06,31253,-0.05421148163127397,0.1265357950636211,-0.42842803179935696,True
rsi_14,1,-0.0027929120654205768,0.6213709193442065,31276,-0.005529762197222196,0.025321861502162462,-0.21837897647256144,False
rsi_14,6,-0.000988505387166324,0.861239558144586,31271,-0.01193017786851985,0.052095537484961554,-0.22900575451330626,False
rsi_14,24,-0.017363736750850393,0.002142308752011801,31253,-0.03061338695645971,0.07797678275784702,-0.3925961789360821,True
atr_14,1,-0.005310268537674595,0.34768390121574966,31276,-0.002331640218050772,0.024185070937878958,-0.09640824391376616,False
atr_14,6,-0.009561530733115798,0.09087602128055511,31271,-0.006626675108842813,0.057984503615676995,-0.11428355328804074,False
atr_14,24,-0.014468774864918514,0.010530741548813045,31253,-0.016284748270945542,0.09015473891067581,-0.1806310845964544,True
bb_position,1,0.0014165739973697239,0.8021917855590833,31276,-0.0004952465233772578,0.025789315018397346,-0.019203554767699856,False
bb_position,6,0.0010403379843715542,0.854043274161661,31271,-0.007789317458402902,0.05504807269152254,-0.14150027562368164,False
bb_position,24,-0.017931114339431724,0.0015239522418247801,31253,-0.030309672255682492,0.07557342459643422,-0.40106257480771346,True
momentum_10,1,0.00033276530950136535,0.9530737596816694,31276,-0.0007712592556529063,0.028216232019420015,-0.027333885513915603,False
momentum_10,6,-0.002955381762076033,0.6012537663517061,31271,-0.012099518358757564,0.057914414742761024,-0.20892067048419816,False
momentum_10,24,-0.017035093747136614,0.0025983184105797417,31253,-0.0306008459292712,0.07308263573300161,-0.41871568563930306,True
volatility_20,1,0.004589579815166708,0.4169982148602286,31276,0.008275812174560707,0.02240421550768161,0.36938638497398957,False
volatility_20,6,0.018691669709375035,0.0009480092522241631,31271,0.020160047283533277,0.05966020249668439,0.3379144964292347,True
volatility_20,24,0.036541888009314544,1.0335275351784744e-10,31253,0.033308419527352966,0.0816554974830243,0.40791398686019387,True
volume_sma_ratio,1,-0.003805889594962992,0.5009167891972893,31276,-0.0046128888396688855,0.025374299807731697,-0.18179373912273675,False
volume_sma_ratio,6,0.0013611921553058465,0.8097888966063244,31271,0.0021468861628632188,0.022188048488242643,0.09675867456305791,False
volume_sma_ratio,24,-0.0020301570496679255,0.7196791051856811,31253,-0.0009667333428850316,0.017626912742258683,-0.054844166815859324,False
